"Rowid_","VALUE_","COUNT_","AREA","MIN_","MAX_","RANGE","MEAN","STD","SUM_"
,114,58,58000000.000000,8.335782,8.335782,0.000000,8.335782,0.000000,483.475372
,115,59,59000000.000000,12.160599,12.160599,0.000000,12.160599,0.000000,717.475402
,116,58,58000000.000000,13.003470,13.003470,0.000000,13.003470,0.000000,754.201293
,117,59,59000000.000000,10.870547,10.870547,0.000000,10.870547,0.000000,641.362304
,118,57,57000000.000000,32.982051,32.982051,0.000000,32.982051,0.000000,1879.976928
,119,59,59000000.000000,40.848499,40.848499,0.000000,40.848499,0.000000,2410.061523
,120,57,57000000.000000,4.793954,4.793954,0.000000,4.793954,0.000000,273.255401
,121,58,58000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,202.007049
,122,57,57000000.000000,3.881454,3.881454,0.000000,3.881454,0.000000,221.242889
,123,60,60000000.000000,12.160599,12.160599,0.000000,12.160599,0.000000,729.635986
,124,57,57000000.000000,12.160599,12.160599,0.000000,12.160599,0.000000,693.154174
,125,59,59000000.000000,11.255460,11.255460,0.000000,11.255460,0.000000,664.072204
,126,59,59000000.000000,10.158589,10.158589,0.000000,10.158589,0.000000,599.356750
,127,59,59000000.000000,11.532404,11.532404,0.000000,11.532404,0.000000,680.411865
,128,60,60000000.000000,25.902252,25.902252,0.000000,25.902252,0.000000,1554.135131
,129,59,59000000.000000,18.049139,18.049139,0.000000,18.049139,0.000000,1064.899169
,130,60,60000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,208.972808
,131,60,60000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,208.972808
,132,59,59000000.000000,6.678419,6.678419,0.000000,6.678419,0.000000,394.026763
,133,60,60000000.000000,12.160599,12.160599,0.000000,12.160599,0.000000,729.635986
,134,58,58000000.000000,10.819165,10.819165,0.000000,10.819165,0.000000,627.511596
,135,58,58000000.000000,10.539699,10.539699,0.000000,10.539699,0.000000,611.302551
,136,57,57000000.000000,8.665909,8.665909,0.000000,8.665909,0.000000,493.956848
,137,56,56000000.000000,19.727638,19.727638,0.000000,19.727638,0.000000,1104.747802
,138,58,58000000.000000,11.804100,11.804100,0.000000,11.804100,0.000000,684.637817
,139,59,59000000.000000,19.949085,19.949085,0.000000,19.949085,0.000000,1176.995971
,140,58,58000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,202.007049
,141,59,59000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,205.489929
,142,58,58000000.000000,3.678731,3.678731,0.000000,3.678731,0.000000,213.366409
,143,59,59000000.000000,11.665863,11.665863,0.000000,11.665863,0.000000,688.285949
,144,57,57000000.000000,11.904667,11.904667,0.000000,11.904667,0.000000,678.566040
,145,59,59000000.000000,10.539699,10.539699,0.000000,10.539699,0.000000,621.842285
,146,59,59000000.000000,9.491647,9.491647,0.000000,9.491647,0.000000,560.007202
,147,59,59000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4436.351562
,148,59,59000000.000000,11.804100,11.804100,0.000000,11.804100,0.000000,696.441894
,149,62,62000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,215.938568
,150,63,63000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,219.421447
,151,64,64000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,222.904327
,152,57,57000000.000000,5.176819,5.176819,0.000000,5.176819,0.000000,295.078735
,153,59,59000000.000000,11.885870,11.885870,0.000000,11.885870,0.000000,701.266357
,154,59,59000000.000000,10.539699,10.539699,0.000000,10.539699,0.000000,621.842285
,155,59,59000000.000000,10.539699,10.539699,0.000000,10.539699,0.000000,621.842285
,156,59,59000000.000000,37.982666,37.982666,0.000000,37.982666,0.000000,2240.977294
,157,58,58000000.000000,19.454412,19.454412,0.000000,19.454412,0.000000,1128.355957
,158,59,59000000.000000,14.120669,14.120669,0.000000,14.120669,0.000000,833.119506
,159,65,65000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,226.387207
,160,64,64000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,222.904327
,161,65,65000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,226.387207
,162,64,64000000.000000,9.788961,9.788961,0.000000,9.788961,0.000000,626.493530
,163,63,63000000.000000,10.977085,10.977085,0.000000,10.977085,0.000000,691.556335
,164,63,63000000.000000,10.539699,10.539699,0.000000,10.539699,0.000000,664.001098
,165,63,63000000.000000,26.944671,26.944671,0.000000,26.944671,0.000000,1697.514282
,166,62,62000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4661.928710
,167,63,63000000.000000,68.149253,68.149253,0.000000,68.149253,0.000000,4293.402832
,168,62,62000000.000000,12.449313,12.449313,0.000000,12.449313,0.000000,771.857421
,169,63,63000000.000000,15.137700,15.137700,0.000000,15.137700,0.000000,953.675109
,170,58,58000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,202.007049
,171,58,58000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,202.007049
,172,62,62000000.000000,8.872130,8.872130,0.000000,8.872130,0.000000,550.072082
,173,63,63000000.000000,30.368738,30.368738,0.000000,30.368738,0.000000,1913.230468
,174,64,64000000.000000,10.539699,10.539699,0.000000,10.539699,0.000000,674.540771
,175,64,64000000.000000,10.539699,10.539699,0.000000,10.539699,0.000000,674.540771
,176,64,64000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4812.313476
,177,64,64000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4812.313476
,178,65,65000000.000000,11.804100,11.804100,0.000000,11.804100,0.000000,767.266479
,179,64,64000000.000000,15.137700,15.137700,0.000000,15.137700,0.000000,968.812805
,180,58,58000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,202.007049
,181,58,58000000.000000,3.482880,3.482880,0.000000,3.482880,0.000000,202.007049
,182,59,59000000.000000,46.599586,46.599586,0.000000,46.599586,0.000000,2749.375488
,183,58,58000000.000000,36.310321,36.310321,0.000000,36.310321,0.000000,2105.998779
,184,60,60000000.000000,10.539699,10.539699,0.000000,10.539699,0.000000,632.381958
,185,58,58000000.000000,68.471878,68.471878,0.000000,68.471878,0.000000,3971.368896
,186,58,58000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4361.159179
,187,58,58000000.000000,68.634986,68.634986,0.000000,68.634986,0.000000,3980.829345
,188,57,57000000.000000,13.090752,13.090752,0.000000,13.090752,0.000000,746.172912
,189,59,59000000.000000,17.095520,17.095520,0.000000,17.095520,0.000000,1008.635681
,190,60,60000000.000000,6.966484,6.966484,0.000000,6.966484,0.000000,417.989044
,191,59,59000000.000000,53.965034,53.965034,0.000000,53.965034,0.000000,3183.937011
,192,60,60000000.000000,47.458183,47.458183,0.000000,47.458183,0.000000,2847.490966
,193,58,58000000.000000,18.710872,18.710872,0.000000,18.710872,0.000000,1085.230590
,194,59,59000000.000000,12.731316,12.731316,0.000000,12.731316,0.000000,751.147705
,195,57,57000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4285.966796
,196,58,58000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4361.159179
,197,58,58000000.000000,26.011821,26.011821,0.000000,26.011821,0.000000,1508.685668
,198,60,60000000.000000,18.342185,18.342185,0.000000,18.342185,0.000000,1100.531127
,199,57,57000000.000000,21.555000,21.555000,0.000000,21.555000,0.000000,1228.635009
,200,58,58000000.000000,4.684123,4.684123,0.000000,4.684123,0.000000,271.679138
,201,57,57000000.000000,126.909446,126.909446,0.000000,126.909446,0.000000,7233.838378
,202,59,59000000.000000,59.577175,59.577175,0.000000,59.577175,0.000000,3515.053222
,203,57,57000000.000000,46.995700,46.995700,0.000000,46.995700,0.000000,2678.754882
,204,59,59000000.000000,12.393394,12.393394,0.000000,12.393394,0.000000,731.210266
,205,58,58000000.000000,67.389488,67.389488,0.000000,67.389488,0.000000,3908.590332
,206,60,60000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4511.543945
,207,60,60000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4511.543945
,208,59,59000000.000000,12.647389,12.647389,0.000000,12.647389,0.000000,746.195983
,209,60,60000000.000000,21.555000,21.555000,0.000000,21.555000,0.000000,1293.300048
,210,58,58000000.000000,27.684108,27.684108,0.000000,27.684108,0.000000,1605.678344
,211,59,59000000.000000,192.684997,192.684997,0.000000,192.684997,0.000000,11368.415039
,212,58,58000000.000000,52.473857,52.473857,0.000000,52.473857,0.000000,3043.483642
,213,58,58000000.000000,46.995700,46.995700,0.000000,46.995700,0.000000,2725.750732
,214,60,60000000.000000,37.532451,37.532451,0.000000,37.532451,0.000000,2251.947021
,215,57,57000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4285.966796
,216,58,58000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4361.159179
,217,58,58000000.000000,57.705970,57.705970,0.000000,57.705970,0.000000,3346.946289
,218,59,59000000.000000,21.446231,21.446231,0.000000,21.446231,0.000000,1265.327636
,219,57,57000000.000000,17.004316,17.004316,0.000000,17.004316,0.000000,969.246032
,220,65,65000000.000000,52.614887,52.614887,0.000000,52.614887,0.000000,3419.967773
